,Unnamed: 0,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!Population 20 to 64 years,NCESDist,year,School District Type
0,1,67426,52971,52.9,64.6,16.7,15.7,609070,2017,Unified
1,2,89037,71964,57.7,67.8,5.5,5.4,609390,2017,Unified
2,3,114688,92881,53.9,63.2,8.1,7.6,609620,2017,Unified
3,4,111769,77249,61.8,78.5,3.1,2.3,609640,2017,Unified
4,5,221791,173109,61.9,74.2,5.0,4.6,609850,2017,Unified
5,6,66030,49623,59.9,74.2,7.3,6.5,610050,2017,Unified
6,7,70765,50296,50.8,62.3,9.1,9.6,610620,2017,Unified
7,8,162618,102451,48.9,66.8,7.2,7.2,611110,2017,Unified
8,9,97028,75937,61.1,73.5,6.4,6.0,611460,2017,Unified
9,10,265529,201790,57.5,70.2,6.7,6.4,612330,2017,Unified
10,11,109247,83333,60.0,72.2,5.7,4.1,613360,2017,Unified
11,12,103934,81256,60.3,71.9,5.6,5.3,613890,2017,Unified
12,13,138080,112668,60.4,70.3,8.3,6.8,613920,2017,Unified
13,14,184698,147085,63.9,76.0,4.2,4.2,614400,2017,Unified
14,15,299841,231004,52.7,63.6,10.5,9.4,614550,2017,Unified
15,16,228393,173822,60.6,74.9,4.0,3.8,614880,2017,Unified
16,17,51275,38284,63.7,77.1,4.7,4.5,615180,2017,Unified
17,18,191511,142162,56.5,69.9,5.2,5.3,615240,2017,Unified
18,19,100908,76812,60.6,73.7,6.5,6.0,616325,2017,Unified
19,20,147486,117373,67.0,80.2,3.4,3.2,616740,2017,Unified
20,21,117234,79339,45.8,61.1,11.2,11.2,616920,2017,Unified
21,22,90464,67518,58.6,71.9,7.5,7.0,618390,2017,Unified
22,23,78248,61139,59.1,69.9,7.1,5.6,619260,2017,Unified
23,24,55670,39949,62.0,72.8,4.6,5.1,621000,2017,Unified
24,25,78126,60636,67.8,80.5,2.2,2.2,622110,2017,Unified
25,26,129047,96755,56.9,69.4,7.4,6.4,622230,2017,Unified
26,27,415722,328709,61.5,72.7,6.2,5.6,622500,2017,Unified
27,28,3872722,3045809,62.1,73.7,6.4,6.1,622710,2017,Unified
28,29,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,623080,2017,Unified
29,30,50480,41624,54.3,63.5,9.2,8.9,623160,2017,Unified
30,31,67627,52309,52.9,65.4,9.5,8.6,623340,2017,Unified
31,32,107162,81186,53.0,65.3,6.7,6.2,623610,2017,Unified
32,33,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,624090,2017,Unified
33,34,60373,48533,67.8,79.0,2.6,2.6,624500,2017,Unified
34,35,127892,95991,58.6,73.1,5.7,5.3,625470,2017,Unified
35,36,78949,59221,59.0,70.9,5.8,5.2,625530,2017,Unified
36,37,136119,108539,58.6,68.5,9.0,8.1,625800,2017,Unified
37,38,51030,40336,66.5,76.7,4.0,3.8,625830,2017,Unified
38,39,57258,42469,39.9,49.5,14.3,13.7,625860,2017,Unified
39,40,214482,163197,62.6,76.1,4.4,4.2,626370,2017,Unified
40,41,99594,72191,63.6,79.1,4.3,4.4,626640,2017,Unified
41,42,67366,53173,65.9,79.4,3.0,2.6,626910,2017,Unified
42,43,164935,124231,65.8,79.4,3.1,2.7,627240,2017,Unified
43,44,101954,75937,60.6,75.4,5.8,5.6,627690,2017,Unified
44,45,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,627720,2017,Unified
45,46,349738,277854,64.3,75.5,6.8,6.7,628050,2017,Unified
46,47,115947,86172,56.7,67.4,6.7,7.1,628250,2017,Unified
47,48,181879,140268,63.4,75.4,2.8,2.7,628650,2017,Unified
48,49,86879,64422,60.6,73.7,6.9,7.3,629490,2017,Unified
49,50,80751,60671,49.3,62.7,11.8,8.9,600014,2017,Unified
50,51,61561,45840,59.1,73.0,8.6,8.0,600016,2017,Unified
51,52,62197,44084,46.8,63.2,10.8,9.3,600017,2017,Unified
52,53,68050,52046,68.0,81.0,2.4,2.5,600020,2017,Unified
53,54,103567,82855,58.7,68.6,8.1,7.9,600027,2017,Unified
54,55,124880,95470,60.4,72.1,5.0,4.8,600028,2017,Unified
55,56,86824,61835,55.3,71.6,8.1,7.7,600029,2017,Unified
56,57,55809,45247,67.4,79.4,3.0,2.8,600032,2017,Unified
57,58,62148,52288,67.0,75.8,6.5,5.9,600036,2017,Unified
58,59,63296,49441,63.0,76.3,3.1,2.8,600047,2017,Unified
59,60,104160,74765,56.1,73.3,4.2,4.0,600153,2017,Unified
60,61,60091,44912,59.1,71.5,8.4,7.6,600158,2017,Unified
61,62,134619,106655,55.4,66.1,7.8,7.9,601332,2017,Unified
62,63,75781,55067,68.9,83.3,4.3,3.7,601414,2017,Unified
63,64,90383,66148,58.7,73.9,6.3,5.8,601620,2017,Unified
64,65,62878,47597,64.4,77.5,3.3,3.3,601770,2017,Unified
65,66,90383,71042,61.4,74.4,7.2,6.0,602430,2017,Unified
66,67,88802,68925,58.3,70.6,9.3,8.3,602850,2017,Unified
67,68,58055,44380,60.8,73.2,5.4,5.2,603600,2017,Unified
68,69,61282,47925,62.8,75.7,5.5,5.5,603690,2017,Unified
69,70,66270,51232,63.0,77.3,5.8,4.6,604440,2017,Unified
70,71,107304,77688,58.7,70.1,5.5,5.6,604740,2017,Unified
71,72,86929,68227,66.3,79.2,6.3,6.5,606450,2017,Unified
72,73,291376,213455,62.9,77.6,4.1,4.0,607440,2017,Unified
73,74,63300,44438,58.2,75.6,4.3,3.1,607500,2017,Unified
74,75,54456,41489,60.4,73.1,9.8,7.8,607970,2017,Unified
75,76,95641,69700,59.8,73.3,6.1,5.8,608370,2017,Unified
76,77,155436,122762,53.1,62.7,4.9,4.6,608460,2017,Unified
77,78,164423,121113,58.7,73.1,4.5,3.5,609030,2017,Unified
78,79,142411,92873,47.5,63.2,7.7,8.0,629550,2017,Unified
79,80,69606,48707,58.8,74.1,4.1,4.0,629610,2017,Unified
80,81,59748,48201,59.4,70.7,5.6,4.9,629850,2017,Unified
81,82,178257,135407,62.5,76.4,4.2,4.2,629940,2017,Unified
82,83,137438,105041,65.2,78.4,3.9,3.2,630660,2017,Unified
83,84,135423,103628,58.3,71.2,5.9,5.0,631320,2017,Unified
84,85,167116,126145,64.1,78.5,4.9,4.2,631530,2017,Unified
85,86,103940,77803,56.1,69.7,4.8,4.6,632070,2017,Unified
86,87,89999,72637,58.4,68.7,10.6,9.4,632370,2017,Unified
87,88,210831,162690,61.5,74.8,5.4,4.9,632550,2017,Unified
88,89,211177,162503,58.8,71.1,6.6,6.0,633150,2017,Unified
89,90,91495,66919,56.4,73.1,5.7,5.0,633750,2017,Unified
90,91,272637,211091,58.1,70.6,8.0,7.7,633840,2017,Unified
91,92,177509,130357,63.2,76.8,4.5,4.2,633860,2017,Unified
92,93,210805,167368,50.2,60.2,11.6,10.8,634170,2017,Unified
93,94,918353,728186,61.7,73.2,6.0,5.5,634320,2017,Unified
94,95,777887,615581,68.7,81.2,3.8,3.5,634410,2017,Unified
95,96,222431,173964,65.1,76.7,5.0,5.0,634590,2017,Unified
96,97,275336,199270,57.6,72.6,4.9,4.1,634620,2017,Unified
97,98,61057,44783,55.7,70.4,6.9,7.0,634680,2017,Unified
98,99,67956,52018,61.7,74.8,5.7,5.5,634710,2017,Unified
99,100,82604,54848,49.9,64.9,3.9,3.2,634800,2017,Unified
100,101,101844,76358,63.2,76.7,3.1,2.6,634880,2017,Unified
101,102,117364,83977,62.0,77.1,2.9,2.9,635130,2017,Unified
102,103,202369,167187,67.2,76.5,4.3,3.9,635310,2017,Unified
103,104,142806,113366,66.3,78.0,3.0,3.0,635430,2017,Unified
104,105,94060,66652,60.6,75.1,6.1,5.5,635700,2017,Unified
105,106,105106,77927,61.7,76.9,5.2,4.6,636840,2017,Unified
106,107,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,637530,2017,Unified
107,108,156327,119729,52.8,64.8,7.1,6.4,638010,2017,Unified
108,109,120535,88316,59.0,74.9,5.0,5.2,639420,2017,Unified
109,110,111766,85832,65.6,78.7,2.6,2.1,640150,2017,Unified
110,111,68475,50726,58.5,71.6,4.1,3.8,640590,2017,Unified
111,112,100578,75673,57.7,70.4,9.5,8.7,640740,2017,Unified
112,113,98358,72716,60.3,74.7,6.3,6.3,640980,2017,Unified
113,114,113444,88294,60.7,71.6,5.8,5.5,641160,2017,Unified
114,115,124276,95392,63.3,75.5,4.8,4.3,641190,2017,Unified
115,116,49504,38569,62.5,75.9,3.6,3.1,643080,2017,Unified
116,117,59048,43620,49.7,62.3,7.6,6.6,643470,2017,Unified
117,118,193438,155000,60.3,70.2,4.3,4.1,684500,2017,Unified
118,119,72651,57404,55.7,67.8,10.8,10.5,691135,2017,Unified
0,1,91208,68829,63.0,76.7,4.3,4.1,602310,2017,Elementary
1,2,159220,128711,62.6,72.6,6.1,5.3,602610,2017,Elementary
2,3,138323,105055,50.9,61.7,12.2,10.3,603630,2017,Elementary
3,4,66868,50046,61.7,76.9,5.2,5.0,604800,2017,Elementary
4,5,78914,62794,63.3,73.7,4.6,4.6,605580,2017,Elementary
5,6,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,605910,2017,Elementary
6,7,103262,79741,58.4,71.3,6.5,6.3,606390,2017,Elementary
7,8,133016,102113,61.1,73.0,5.8,5.5,606810,2017,Elementary
8,9,78809,63162,69.0,80.4,2.4,2.1,607200,2017,Elementary
9,10,245086,186727,56.1,70.3,9.9,7.9,608610,2017,Elementary
10,11,118184,89246,62.1,76.8,3.7,3.8,610290,2017,Elementary
11,12,54905,40168,60.5,76.6,2.9,2.9,611850,2017,Elementary
12,13,66372,50133,58.2,72.6,4.2,3.9,612090,2017,Elementary
13,14,60354,42390,61.6,77.1,4.8,4.4,612750,2017,Elementary
14,15,132222,101630,63.4,76.8,3.7,3.5,612880,2017,Elementary
15,16,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,612960,2017,Elementary
16,17,80846,61040,61.6,75.4,6.4,6.7,613140,2017,Elementary
17,18,52559,37164,38.2,47.2,6.3,6.3,613500,2017,Elementary
18,19,75516,57833,63.6,77.2,3.1,3.0,614370,2017,Elementary
19,20,99770,75184,60.3,73.3,6.7,6.2,614730,2017,Elementary
20,21,71578,49158,57.4,69.6,8.7,8.0,615510,2017,Elementary
21,22,58978,48342,64.9,75.8,5.5,5.1,616680,2017,Elementary
22,23,66978,47513,61.1,77.1,3.5,3.3,618030,2017,Elementary
23,24,79874,62535,66.5,80.0,4.0,3.0,618870,2017,Elementary
24,25,113079,88240,60.5,71.9,7.2,6.9,620250,2017,Elementary
25,26,83152,66332,52.5,61.6,5.3,4.9,620880,2017,Elementary
26,27,52191,40800,65.2,77.9,4.8,3.9,623430,2017,Elementary
27,28,77263,57799,54.0,67.0,6.5,6.5,624540,2017,Elementary
28,29,63823,48371,47.0,58.9,11.8,10.1,624600,2017,Elementary
29,30,90769,69204,54.3,65.8,8.9,7.6,625130,2017,Elementary
30,31,60789,50216,72.9,82.5,3.0,3.1,626280,2017,Elementary
31,32,52613,38714,63.3,77.4,4.1,4.1,627180,2017,Elementary
32,33,93620,76789,67.9,78.6,5.1,4.4,627810,2017,Elementary
33,34,86181,63981,65.9,80.4,4.2,3.9,628140,2017,Elementary
34,35,140699,110245,58.8,70.2,7.4,6.8,628470,2017,Elementary
35,36,100118,77388,62.4,75.0,5.6,5.1,629220,2017,Elementary
36,37,97533,76230,52.0,63.0,8.2,8.2,629580,2017,Elementary
37,38,64893,45488,59.3,75.4,5.9,5.3,630990,2017,Elementary
38,39,85891,67599,69.9,81.6,1.9,1.6,632130,2017,Elementary
39,40,76749,54878,59.1,75.3,3.5,3.3,633600,2017,Elementary
40,41,63857,49905,61.8,73.7,4.6,4.4,633930,2017,Elementary
41,42,111373,83867,67.2,81.5,3.5,3.1,634920,2017,Elementary
42,43,60106,42942,58.5,69.1,9.2,8.5,635590,2017,Elementary
43,44,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,635810,2017,Elementary
44,45,81336,64711,66.3,77.1,4.9,3.8,635970,2017,Elementary
45,46,62341,48207,57.1,69.0,6.5,5.4,637380,2017,Elementary
46,47,52545,41518,62.3,73.2,5.8,6.0,638220,2017,Elementary
47,48,75985,63458,69.9,79.7,4.1,4.1,638460,2017,Elementary
48,49,59747,44055,57.9,73.6,7.1,6.5,638670,2017,Elementary
49,50,43944,35095,59.4,72.1,4.9,4.2,639870,2017,Elementary
50,51,73642,55064,47.4,60.5,16.4,14.6,641040,2017,Elementary
51,52,60018,46370,51.6,61.9,4.3,4.0,642120,2017,Elementary
52,53,67476,49850,57.9,72.8,6.0,6.3,642150,2017,Elementary
53,54,54807,41780,57.8,71.1,3.5,3.1,642450,2017,Elementary
0,1,97561,63029,58.3,77.7,2.7,2.8,601650,2017,Secondary
1,2,318227,246046,60.9,73.5,5.3,4.6,602630,2017,Secondary
2,3,289577,226691,51.1,61.3,6.5,6.3,602820,2017,Secondary
3,4,92779,61782,57.7,72.1,7.4,6.7,606019,2017,Secondary
4,5,77263,57799,54.0,67.0,6.5,6.5,606034,2017,Secondary
5,6,184603,145847,67.7,79.5,3.2,3.1,607230,2017,Secondary
6,7,118543,97457,65.3,75.4,5.6,5.1,607920,2017,Secondary
7,8,330347,262183,62.6,73.7,5.9,5.2,608160,2017,Secondary
8,9,53777,43607,48.2,55.6,14.1,13.8,610860,2017,Secondary
9,10,442231,343077,64.1,77.1,4.7,4.4,611820,2017,Secondary
10,11,120006,82781,51.6,67.0,3.5,3.0,612070,2017,Secondary
11,12,142668,109896,58.6,71.6,4.8,4.4,612120,2017,Secondary
12,13,134458,103064,63.5,76.9,3.6,3.5,612910,2017,Secondary
13,14,55054,38635,39.0,48.3,6.0,6.0,613530,2017,Secondary
14,15,194169,152704,65.2,78.0,3.8,3.9,614430,2017,Secondary
15,16,209471,160835,62.1,74.9,5.9,5.2,614760,2017,Secondary
16,17,382890,293720,60.8,72.6,6.2,5.9,616230,2017,Secondary
17,18,54702,41835,56.9,70.4,6.3,5.8,616500,2017,Secondary
18,19,265794,191345,61.2,76.9,4.3,4.1,618060,2017,Secondary
19,20,129603,99083,66.8,81.1,3.9,3.2,618930,2017,Secondary
20,21,470576,363674,53.9,65.2,9.4,8.2,619540,2017,Secondary
21,22,100287,75894,61.5,74.9,5.5,5.1,621600,2017,Secondary
22,23,131635,100062,50.3,62.6,11.9,10.2,624660,2017,Secondary
23,24,216048,161653,55.8,68.8,7.9,7.3,625150,2017,Secondary
24,25,95137,74359,68.2,80.7,3.1,3.2,626310,2017,Secondary
25,26,72890,44622,52.2,71.1,3.9,3.1,626880,2017,Secondary
26,27,263216,202639,61.4,74.0,6.1,5.5,629270,2017,Secondary
27,28,62266,45180,61.2,77.0,4.5,4.3,630250,2017,Secondary
28,29,79894,53397,52.7,70.7,4.9,3.8,630750,2017,Secondary
29,30,143587,105059,60.3,75.5,4.2,3.4,633630,2017,Secondary
30,31,128304,99927,60.6,72.5,4.6,4.6,633980,2017,Secondary
31,32,138888,101765,62.6,77.9,3.8,3.4,634380,2017,Secondary
32,33,196584,145990,65.2,80.3,4.1,4.0,634980,2017,Secondary
33,34,62219,42630,59.0,74.7,3.0,2.6,635110,2017,Secondary
34,35,87243,61931,57.6,69.5,8.7,8.3,635600,2017,Secondary
35,36,113804,88217,62.1,73.6,5.1,4.8,635670,2017,Secondary
36,37,173354,124465,60.7,74.6,4.2,4.1,635830,2017,Secondary
37,38,211668,163709,67.5,79.3,3.4,3.2,636390,2017,Secondary
38,39,83709,58414,54.2,68.2,3.5,3.0,636600,2017,Secondary
39,40,117728,90104,47.1,58.7,13.2,11.7,636972,2017,Secondary
40,41,390043,301252,54.6,67.1,9.0,7.5,638640,2017,Secondary
41,42,93797,62959,59.0,74.3,5.0,5.4,638790,2017,Secondary
42,43,57010,45072,57.6,69.7,5.9,5.0,639930,2017,Secondary
43,44,177140,133678,58.6,72.9,3.5,3.2,642480,2017,Secondary
44,45,208964,163856,62.6,73.5,5.0,4.6,642510,2017,Secondary
