,Unnamed: 0,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Total!!Estimate!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino",Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Employment/Population Ratio!!Estimate!!Hispanic or Latino origin (of any race),"Employment/Population Ratio!!Estimate!!White alone, not Hispanic or Latino",Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Unemployment rate!!Estimate!!Hispanic or Latino origin (of any race),"Unemployment rate!!Estimate!!White alone, not Hispanic or Latino",Unemployment rate!!Estimate!!Population 20 to 64 years,STATE,SCHOOL DISTRICT (UNIFIED),NCESDist,year,SCHOOL DISTRICT (ELEMENTARY),SCHOOL DISTRICT (SECONDARY)
46,47,184853,137636,-999999999,-999999999,29276,-999999999,8916,-999999999,32270,116131,136224,57.8,56.5,-999999999.0,-999999999.0,59.5,-999999999.0,65.5,-999999999.0,66.1,54.4,72.7,9.2,8.9,-999999999.0,-999999999.0,8.5,-999999999.0,10.8,-999999999.0,8.4,9.1,8.7,6,15240.0,615240,2016,,
47,48,94737,28930,-999999999,-999999999,23460,-999999999,37524,-999999999,59479,9158,71864,58.2,52.6,-999999999.0,-999999999.0,59.8,-999999999.0,62.2,-999999999.0,61.7,37.0,72.1,5.4,7.3,-999999999.0,-999999999.0,5.4,-999999999.0,3.8,-999999999.0,4.3,12.8,5.0,6,16325.0,616325,2016,,
48,49,147294,68458,11965,-999999999,38702,-999999999,15693,-999999999,55265,31465,115459,63.0,62.1,58.2,-999999999.0,67.5,-999999999.0,65.1,-999999999.0,64.5,57.9,75.3,3.9,3.3,6.2,-999999999.0,2.7,-999999999.0,4.2,-999999999.0,3.6,3.8,4.0,6,16740.0,616740,2016,,
49,50,108666,83262,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,36762,57842,71798,41.3,39.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,49.5,35.6,55.9,13.6,13.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,13.3,13.3,12.5,6,16920.0,616920,2016,,
50,51,94086,19793,45687,-999999999,-999999999,-999999999,20869,-999999999,38287,6112,73446,59.6,57.6,58.6,-999999999.0,-999999999.0,-999999999.0,62.9,-999999999.0,62.7,53.3,71.6,8.8,7.4,10.7,-999999999.0,-999999999.0,-999999999.0,5.3,-999999999.0,5.8,1.9,7.1,6,18390.0,618390,2016,,
51,52,80149,43546,-999999999,-999999999,-999999999,-999999999,28554,-999999999,53703,19810,64172,57.6,56.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,58.2,-999999999.0,61.1,48.1,68.7,8.6,8.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,9.8,-999999999.0,8.7,9.9,8.1,6,19260.0,619260,2016,,
52,53,53372,45625,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,42722,36980,63.0,63.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,63.5,78.8,2.7,2.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.4,2.1,6,21000.0,621000,2016,,
53,54,77959,56006,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,47505,61438,68.4,69.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,68.2,81.6,3.5,2.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.8,3.1,6,22110.0,622110,2016,,
54,55,130833,72570,-999999999,-999999999,24669,-999999999,-999999999,12123,38444,56594,96014,56.2,56.6,-999999999.0,-999999999.0,55.8,-999999999.0,-999999999.0,61.4,62.6,52.9,69.7,7.9,5.3,-999999999.0,-999999999.0,8.3,-999999999.0,-999999999.0,9.6,10.8,4.8,7.3,6,22230.0,622230,2016,,
55,56,409425,214178,50238,-999999999,58308,-999999999,63221,17322,162109,124186,325094,62.1,62.8,59.1,-999999999.0,58.8,-999999999.0,65.2,67.1,64.8,61.1,73.6,6.6,5.0,12.1,-999999999.0,6.2,-999999999.0,7.3,8.7,6.7,4.3,6.2,6,22500.0,622500,2016,,
56,57,3840920,2007714,361594,24947,453088,8383,875523,109671,1867653,1080135,3024387,61.0,61.6,52.8,61.3,58.9,64.4,63.8,62.7,62.3,62.3,72.5,6.9,6.4,10.2,8.5,5.3,6.5,7.4,7.9,6.9,6.3,6.4,6,22710.0,622710,2016,,
57,58,-999999999,55351,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,44171,-999999999,-999999999.0,56.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,51.8,-999999999.0,-999999999.0,4.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.3,-999999999.0,6,23080.0,623080,2016,,
58,59,51397,32477,-999999999,-999999999,-999999999,-999999999,11440,-999999999,44103,-999999999,41345,59.2,63.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,59.2,-999999999.0,62.7,-999999999.0,71.8,7.9,4.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,10.0,-999999999.0,7.1,-999999999.0,6.2,6,23160.0,623160,2016,,
59,60,65575,42177,-999999999,-999999999,-999999999,-999999999,16369,-999999999,46304,14566,50732,52.6,52.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,53.8,-999999999.0,54.5,45.3,64.3,12.6,11.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,11.3,-999999999.0,14.9,6.8,11.6,6,23340.0,623340,2016,,
60,61,100477,61223,-999999999,-999999999,15499,-999999999,-999999999,-999999999,36458,37348,79178,54.4,54.4,-999999999.0,-999999999.0,50.6,-999999999.0,-999999999.0,-999999999.0,58.3,53.6,65.3,10.1,9.7,-999999999.0,-999999999.0,13.6,-999999999.0,-999999999.0,-999999999.0,10.1,7.3,9.7,6,23610.0,623610,2016,,
61,62,60932,6912,-999999999,-999999999,45229,-999999999,-999999999,-999999999,-999999999,5339,49388,63.6,56.8,-999999999.0,-999999999.0,64.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,58.1,76.0,3.0,1.7,-999999999.0,-999999999.0,3.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.1,3.1,6,24500.0,624500,2016,,
62,63,131472,73633,-999999999,-999999999,18704,-999999999,34628,-999999999,103607,-999999999,98281,55.6,56.6,-999999999.0,-999999999.0,52.3,-999999999.0,56.1,-999999999.0,57.2,-999999999.0,70.1,8.0,7.5,-999999999.0,-999999999.0,7.2,-999999999.0,9.7,-999999999.0,8.3,-999999999.0,7.3,6,25470.0,625470,2016,,
63,64,70994,46239,3481,-999999999,7681,-999999999,-999999999,-999999999,16396,37884,52900,56.4,55.0,47.9,-999999999.0,48.6,-999999999.0,-999999999.0,-999999999.0,69.2,53.3,68.8,3.9,3.6,11.2,-999999999.0,6.8,-999999999.0,-999999999.0,-999999999.0,2.4,3.6,3.3,6,25530.0,625530,2016,,
64,65,132313,42773,22444,-999999999,-999999999,-999999999,55209,-999999999,73569,25888,108544,58.4,56.7,59.8,-999999999.0,-999999999.0,-999999999.0,61.8,-999999999.0,60.9,55.5,67.6,10.0,8.6,13.1,-999999999.0,-999999999.0,-999999999.0,8.8,-999999999.0,8.8,9.0,9.2,6,25800.0,625800,2016,,
65,66,52103,37746,-999999999,-999999999,7533,-999999999,-999999999,-999999999,-999999999,25221,38197,64.3,65.1,-999999999.0,-999999999.0,62.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,63.9,78.0,3.7,4.3,-999999999.0,-999999999.0,2.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,5.0,3.8,6,25830.0,625830,2016,,
66,67,55966,42988,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,9265,35619,42344,40.9,37.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,44.2,36.2,49.9,11.1,12.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,7.8,13.6,9.9,6,25860.0,625860,2016,,
67,68,217519,143377,-999999999,-999999999,30349,-999999999,-999999999,-999999999,48075,118672,165185,62.2,61.2,-999999999.0,-999999999.0,59.1,-999999999.0,-999999999.0,-999999999.0,67.0,60.5,75.8,5.5,5.0,-999999999.0,-999999999.0,5.3,-999999999.0,-999999999.0,-999999999.0,5.5,4.8,5.1,6,26370.0,626370,2016,,
68,69,98493,76500,-999999999,-999999999,8904,-999999999,-999999999,-999999999,28915,55897,70514,63.6,63.8,-999999999.0,-999999999.0,62.8,-999999999.0,-999999999.0,-999999999.0,73.9,59.2,79.3,4.7,4.7,-999999999.0,-999999999.0,1.0,-999999999.0,-999999999.0,-999999999.0,4.7,4.9,4.7,6,26640.0,626640,2016,,
69,70,67141,17337,-999999999,-999999999,34128,-999999999,-999999999,-999999999,-999999999,14172,53327,62.1,52.7,-999999999.0,-999999999.0,67.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,52.4,74.4,4.8,5.0,-999999999.0,-999999999.0,5.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.1,4.9,6,26910.0,626910,2016,,
70,71,164625,133900,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,43537,100735,126187,65.9,64.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,74.1,62.0,78.2,3.1,3.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.1,2.6,2.9,6,27240.0,627240,2016,,
71,72,100237,45309,-999999999,-999999999,15417,-999999999,30948,-999999999,55931,23172,75490,55.8,56.3,-999999999.0,-999999999.0,48.7,-999999999.0,58.4,-999999999.0,58.7,53.6,68.9,6.7,7.6,-999999999.0,-999999999.0,5.9,-999999999.0,5.2,-999999999.0,7.2,5.7,5.9,6,27690.0,627690,2016,,
72,73,346209,124654,82586,-999999999,62723,-999999999,51073,20225,80174,103203,276396,64.4,71.8,57.0,-999999999.0,57.8,-999999999.0,65.0,69.5,65.9,73.0,76.1,6.3,4.3,9.6,-999999999.0,6.0,-999999999.0,6.8,4.7,7.1,3.7,5.9,6,28050.0,628050,2016,,
73,74,112434,88657,-999999999,-999999999,-999999999,-999999999,4092,-999999999,37715,56582,86482,56.5,55.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,46.3,-999999999.0,60.9,52.0,68.3,5.2,4.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,19.1,-999999999.0,7.3,3.0,4.9,6,28250.0,628250,2016,,
74,75,180915,127225,-999999999,-999999999,26112,-999999999,-999999999,-999999999,58716,87414,137228,63.6,63.7,-999999999.0,-999999999.0,56.5,-999999999.0,-999999999.0,-999999999.0,69.9,62.5,75.0,4.9,4.6,-999999999.0,-999999999.0,6.9,-999999999.0,-999999999.0,-999999999.0,4.8,4.0,4.7,6,28650.0,628650,2016,,
75,76,96071,60683,-999999999,-999999999,-999999999,-999999999,29115,-999999999,54039,37632,73179,62.0,59.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,68.5,-999999999.0,67.5,54.6,74.1,6.6,7.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,6.0,-999999999.0,8.0,4.6,5.8,6,29490.0,629490,2016,,
76,77,141103,115648,-999999999,-999999999,5610,-999999999,11799,3370,54304,75498,91385,49.1,47.1,-999999999.0,-999999999.0,56.2,-999999999.0,63.1,54.6,59.3,41.4,66.9,8.5,8.2,-999999999.0,-999999999.0,10.1,-999999999.0,7.5,7.9,10.0,6.0,8.6,6,29550.0,629550,2016,,
77,78,71982,45790,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,42148,48024,54.8,56.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,55.2,71.3,4.4,4.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.8,4.0,6,29610.0,629610,2016,,
78,79,58794,31342,-999999999,-999999999,-999999999,-999999999,15495,-999999999,43899,4802,46193,59.9,59.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,59.3,-999999999.0,60.0,51.4,72.3,6.9,4.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,10.0,-999999999.0,7.5,0.0,5.5,6,29850.0,629850,2016,,
79,80,176299,95871,22123,-999999999,27811,-999999999,-999999999,-999999999,52141,69671,133896,61.1,62.4,52.1,-999999999.0,56.3,-999999999.0,-999999999.0,-999999999.0,65.6,61.9,74.3,4.7,5.2,7.4,-999999999.0,3.6,-999999999.0,-999999999.0,-999999999.0,5.5,3.9,4.5,6,29940.0,629940,2016,,
80,81,127616,90884,-999999999,-999999999,23591,-999999999,-999999999,-999999999,37610,60447,94078,63.4,65.5,-999999999.0,-999999999.0,54.2,-999999999.0,-999999999.0,-999999999.0,67.7,64.7,77.4,4.7,4.2,-999999999.0,-999999999.0,5.7,-999999999.0,-999999999.0,-999999999.0,5.7,3.5,4.7,6,30660.0,630660,2016,,
81,82,131721,57791,8317,-999999999,21202,-999999999,35735,-999999999,83096,16719,104562,61.2,59.0,54.4,-999999999.0,56.4,-999999999.0,67.1,-999999999.0,66.8,45.1,71.6,8.3,10.1,8.7,-999999999.0,5.2,-999999999.0,7.1,-999999999.0,7.9,12.5,7.3,6,31320.0,631320,2016,,
82,83,156916,108632,-999999999,-999999999,37830,-999999999,-999999999,-999999999,-999999999,96737,119512,62.2,62.8,-999999999.0,-999999999.0,61.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,62.5,76.0,5.2,5.7,-999999999.0,-999999999.0,3.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,5.9,5.0,6,31530.0,631530,2016,,
83,84,103943,75142,-999999999,-999999999,14119,-999999999,-999999999,-999999999,34713,49001,77200,54.1,54.7,-999999999.0,-999999999.0,52.6,-999999999.0,-999999999.0,-999999999.0,55.9,53.9,65.6,6.5,5.8,-999999999.0,-999999999.0,9.1,-999999999.0,-999999999.0,-999999999.0,8.8,4.1,6.4,6,32070.0,632070,2016,,
84,85,91027,56726,9803,-999999999,-999999999,-999999999,18426,-999999999,68517,10008,70429,56.3,56.8,37.4,-999999999.0,-999999999.0,-999999999.0,66.4,-999999999.0,60.3,47.4,67.9,10.9,9.8,32.0,-999999999.0,-999999999.0,-999999999.0,4.2,-999999999.0,9.5,7.7,10.0,6,32370.0,632370,2016,,
85,86,204805,98382,27870,-999999999,45615,-999999999,20734,-999999999,71421,50769,158794,60.6,61.8,55.6,-999999999.0,60.4,-999999999.0,65.8,-999999999.0,62.9,59.9,73.2,7.4,6.2,10.1,-999999999.0,6.5,-999999999.0,7.5,-999999999.0,6.6,6.4,7.1,6,32550.0,632550,2016,,
86,87,209298,124897,18984,-999999999,15047,-999999999,41903,-999999999,85637,84834,159425,55.6,55.8,45.0,-999999999.0,45.0,-999999999.0,64.3,-999999999.0,60.9,54.8,67.0,8.8,8.1,15.5,-999999999.0,7.7,-999999999.0,8.5,-999999999.0,9.6,6.8,7.9,6,33150.0,633150,2016,,
87,88,90610,18502,-999999999,-999999999,48742,-999999999,18687,-999999999,32541,5977,68953,58.0,55.7,-999999999.0,-999999999.0,57.2,-999999999.0,61.1,-999999999.0,60.3,43.6,71.1,4.8,7.6,-999999999.0,-999999999.0,3.9,-999999999.0,3.6,-999999999.0,4.7,11.9,4.9,6,33750.0,633750,2016,,
88,89,274142,145284,31412,-999999999,46199,-999999999,30367,15707,66929,112010,209849,57.1,60.3,53.2,-999999999.0,50.2,-999999999.0,54.8,64.7,59.4,60.2,69.6,8.0,6.3,10.7,-999999999.0,10.3,-999999999.0,10.1,10.6,8.0,6.5,7.9,6,33840.0,633840,2016,,
89,90,185227,137926,-999999999,-999999999,29204,-999999999,-999999999,-999999999,32337,115649,134615,64.8,63.7,-999999999.0,-999999999.0,66.9,-999999999.0,-999999999.0,-999999999.0,71.5,62.4,80.7,3.6,4.1,-999999999.0,-999999999.0,1.3,-999999999.0,-999999999.0,-999999999.0,4.0,4.0,3.2,6,33860.0,633860,2016,,
90,91,188168,104599,28872,-999999999,9982,-999999999,34763,-999999999,110893,35695,149504,51.3,51.6,47.3,-999999999.0,47.2,-999999999.0,54.7,-999999999.0,54.5,45.3,60.3,11.4,9.9,15.6,-999999999.0,13.1,-999999999.0,11.8,-999999999.0,11.3,7.7,10.4,6,34170.0,634170,2016,,
91,92,913140,614232,64737,-999999999,151509,-999999999,39836,34529,240670,428734,722804,60.8,61.7,52.4,-999999999.0,58.8,-999999999.0,63.6,64.3,63.9,60.9,71.7,5.8,5.1,11.7,-999999999.0,5.2,-999999999.0,8.1,6.3,7.2,4.3,5.4,6,34320.0,634320,2016,,
92,93,763084,363798,38065,-999999999,269055,-999999999,56804,30585,107658,320995,609870,67.0,72.9,49.5,-999999999.0,60.0,-999999999.0,71.1,74.1,68.5,73.8,79.4,4.5,4.0,8.2,-999999999.0,4.4,-999999999.0,4.8,7.0,5.7,3.8,4.4,6,34410.0,634410,2016,,
93,94,220286,117012,-999999999,-999999999,48355,-999999999,34479,-999999999,63489,92043,174843,64.5,63.9,-999999999.0,-999999999.0,64.2,-999999999.0,67.2,-999999999.0,66.7,63.2,75.4,5.0,4.2,-999999999.0,-999999999.0,5.0,-999999999.0,7.4,-999999999.0,5.6,4.5,4.9,6,34590.0,634590,2016,,
94,95,275367,211418,15979,-999999999,18142,-999999999,14990,13600,40041,189578,202595,57.2,56.4,56.6,-999999999.0,56.9,-999999999.0,63.3,63.2,65.9,55.3,70.9,6.6,4.9,17.6,-999999999.0,10.3,-999999999.0,13.2,3.8,7.0,5.1,6.8,6,34620.0,634620,2016,,
95,96,60763,24125,-999999999,-999999999,19623,-999999999,-999999999,-999999999,-999999999,15601,45826,61.1,53.2,-999999999.0,-999999999.0,64.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,52.9,73.9,3.7,2.8,-999999999.0,-999999999.0,4.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.7,3.9,6,34680.0,634680,2016,,
96,97,66364,30044,-999999999,-999999999,16511,-999999999,-999999999,-999999999,-999999999,15835,51296,57.4,55.5,-999999999.0,-999999999.0,65.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,44.2,71.1,3.8,4.5,-999999999.0,-999999999.0,3.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,7.7,3.4,6,34710.0,634710,2016,,
97,98,86620,69576,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,62440,59503,52.7,54.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,52.0,67.4,5.0,5.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,5.0,3.4,6,34800.0,634800,2016,,
98,99,98683,72780,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,28996,50192,75310,62.7,64.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,67.1,62.8,75.7,6.3,4.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,5.3,5.5,6.2,6,34880.0,634880,2016,,
99,100,114947,74254,-999999999,-999999999,33933,-999999999,-999999999,-999999999,-999999999,69631,84259,62.9,62.1,-999999999.0,-999999999.0,64.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,61.6,77.6,3.1,3.0,-999999999.0,-999999999.0,2.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.2,3.2,6,35130.0,635130,2016,,
100,101,203467,101271,-999999999,-999999999,19853,-999999999,75057,-999999999,156922,22981,165953,63.8,60.5,-999999999.0,-999999999.0,59.1,-999999999.0,69.5,-999999999.0,65.1,59.1,74.2,5.8,5.3,-999999999.0,-999999999.0,5.1,-999999999.0,6.5,-999999999.0,6.1,4.7,5.2,6,35310.0,635310,2016,,
101,102,136476,58714,-999999999,-999999999,58908,-999999999,-999999999,-999999999,-999999999,48607,111351,66.3,65.0,-999999999.0,-999999999.0,68.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,64.6,76.1,4.6,4.7,-999999999.0,-999999999.0,4.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,5.3,4.4,6,35430.0,635430,2016,,
102,103,96195,77705,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,15275,65925,71723,63.4,63.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,68.8,62.1,76.8,5.8,5.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,8.0,5.3,6.0,6,35700.0,635700,2016,,
